"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 29, 2018","3.019","2.990","3.036","2.990","0.80K","0.84%"
"Mar 28, 2018","2.994","2.966","2.998","2.965","2.13K","0.10%"
"Mar 27, 2018","2.991","2.976","2.978","2.976","0.42K","1.01%"
"Mar 26, 2018","2.961","2.950","2.981","2.946","0.35K","-0.80%"
"Mar 23, 2018","2.985","3.000","3.006","2.974","0.35K","-0.90%"
"Mar 22, 2018","3.012","3.049","3.049","2.995","0.37K","-1.21%"
"Mar 21, 2018","3.049","3.033","3.068","3.010","0.99K","0.76%"
"Mar 20, 2018","3.026","3.062","3.068","3.022","0.72K","-1.43%"
"Mar 19, 2018","3.070","3.090","3.090","3.055","0.48K","-0.74%"
"Mar 16, 2018","3.093","3.123","3.126","3.076","0.48K","-0.58%"
"Mar 15, 2018","3.111","3.131","3.144","3.092","0.49K","-0.92%"
"Mar 14, 2018","3.140","3.123","3.171","3.123","0.45K","0.67%"
"Mar 13, 2018","3.119","3.100","3.122","3.093","1.02K","0.48%"
"Mar 12, 2018","3.104","3.123","3.125","3.092","0.63K","-0.39%"
"Mar 09, 2018","3.116","3.058","3.126","3.041","0.75K","1.90%"
"Mar 08, 2018","3.058","3.098","3.098","3.051","0.65K","-1.80%"
"Mar 07, 2018","3.114","3.123","3.123","3.096","0.74K","-0.73%"
"Mar 06, 2018","3.137","3.104","3.155","3.104","0.54K","1.00%"
"Mar 05, 2018","3.106","3.115","3.115","3.074","1.01K","0.16%"
"Mar 02, 2018","3.101","3.104","3.119","3.087","1.06K","0.06%"
"Mar 01, 2018","3.099","3.104","3.122","3.080","1.73K","-0.26%"
"Feb 28, 2018","3.107","3.155","3.156","3.102","3.32K","-1.61%"
"Feb 27, 2018","3.158","3.199","3.209","3.134","16.68K","-1.19%"
"Feb 26, 2018","3.196","3.204","3.204","3.196","0.32K","-0.37%"
"Feb 23, 2018","3.208","3.199","3.205","3.199","0.29K","-0.90%"
"Feb 22, 2018","3.237","3.179","3.233","3.179","0.34K","0.78%"
"Feb 21, 2018","3.212","3.179","3.179","3.179","0.30K","0.82%"
"Feb 20, 2018","3.186","3.224","3.233","3.181","0.27K","-0.62%"
"Feb 19, 2018","3.206","3.235","3.245","3.192","-","-0.93%"
"Feb 18, 2018","3.236","3.239","3.244","3.235","-","-0.22%"
"Feb 16, 2018","3.243","3.249","3.249","3.234","0.40K","0.12%"
"Feb 15, 2018","3.239","3.220","3.240","3.215","0.41K","0.34%"
"Feb 14, 2018","3.228","3.228","3.228","3.228","0.41K","2.31%"
"Feb 13, 2018","3.155","3.079","3.152","3.079","0.35K","2.50%"
"Feb 12, 2018","3.078","3.045","3.076","3.045","0.61K","1.75%"
"Feb 09, 2018","3.025","3.067","3.068","3.021","0.47K","-1.53%"
"Feb 08, 2018","3.072","3.078","3.089","3.056","0.41K","-0.13%"
"Feb 07, 2018","3.076","3.131","3.131","3.078","0.33K","-3.21%"
"Feb 06, 2018","3.178","3.181","3.200","3.151","0.49K","-1.03%"
"Feb 05, 2018","3.211","3.216","3.240","3.179","0.45K","1.10%"
"Feb 02, 2018","3.176","3.192","3.205","3.163","0.41K","-0.66%"
"Feb 01, 2018","3.197","3.180","3.208","3.178","0.89K","0.41%"
"Jan 31, 2018","3.184","3.211","3.211","3.184","0.80K","0.22%"
"Jan 30, 2018","3.177","3.160","3.187","3.150","0.67K","-0.03%"
"Jan 29, 2018","3.178","3.178","3.178","3.178","0.27K","-0.16%"
"Jan 26, 2018","3.183","3.175","3.177","3.175","0.22K","-0.50%"
"Jan 25, 2018","3.199","3.216","3.216","3.202","0.35K","-0.28%"
"Jan 24, 2018","3.208","3.153","3.213","3.153","0.32K","3.82%"
"Jan 23, 2018","3.090","3.143","3.143","3.103","0.35K","-2.77%"
"Jan 22, 2018","3.178","3.188","3.188","3.175","0.23K","0.35%"
"Jan 19, 2018","3.167","3.167","3.167","3.167","0.24K","-0.31%"
"Jan 18, 2018","3.177","3.180","3.180","3.180","0.42K","0.32%"
"Jan 17, 2018","3.167","3.170","3.171","3.160","0.67K","-1.00%"
"Jan 16, 2018","3.199","3.241","3.247","3.168","1.02K","-2.20%"
"Jan 15, 2018","3.271","3.229","3.291","3.228","-","1.30%"
"Jan 14, 2018","3.229","3.221","3.232","3.221","-","0.91%"
"Jan 12, 2018","3.200","3.200","3.200","3.200","0.32K","-0.40%"
"Jan 11, 2018","3.213","3.215","3.216","3.210","0.32K","-0.06%"
"Jan 10, 2018","3.215","3.227","3.227","3.224","0.38K","0.63%"
"Jan 09, 2018","3.195","3.219","3.224","3.193","0.83K","-0.19%"
"Jan 08, 2018","3.201","3.205","3.214","3.200","0.70K","-0.19%"
"Jan 05, 2018","3.207","3.209","3.211","3.208","0.58K","-1.11%"
"Jan 04, 2018","3.243","3.263","3.263","3.236","0.32K","0.19%"
"Jan 03, 2018","3.237","3.239","3.244","3.222","0.33K","-0.58%"
"Jan 02, 2018","3.256","3.251","3.267","3.251","0.76K","-0.97%"
"Jan 01, 2018","3.288","3.295","3.295","3.287","-","0.24%"
"Dec 29, 2017","3.280","3.253","3.279","3.253","0.87K","-0.18%"
"Dec 28, 2017","3.286","3.249","3.296","3.249","0.81K","0.89%"
"Dec 27, 2017","3.257","3.257","3.257","3.257","0.59K","0.03%"
"Dec 26, 2017","3.256","3.221","3.258","3.221","0.50K","0.65%"
"Dec 25, 2017","3.235","3.247","3.247","3.234","-","0.62%"
"Dec 22, 2017","3.215","3.188","3.219","3.184","0.95K","0.63%"
"Dec 21, 2017","3.195","3.170","3.191","3.163","0.98K","0.76%"
"Dec 20, 2017","3.171","3.119","3.177","3.119","0.60K","1.41%"
"Dec 19, 2017","3.127","3.111","3.130","3.092","0.71K","0.16%"
"Dec 18, 2017","3.122","3.096","3.123","3.090","0.62K","0.39%"
"Dec 15, 2017","3.110","3.042","3.115","3.042","0.56K","2.00%"
"Dec 14, 2017","3.049","3.033","3.052","3.016","1.03K","0.63%"
"Dec 13, 2017","3.030","2.993","3.035","2.993","0.54K","1.03%"
"Dec 12, 2017","2.999","2.990","3.001","2.983","0.84K","0.37%"
"Dec 11, 2017","2.988","2.950","2.993","2.940","0.48K","1.12%"
"Dec 08, 2017","2.955","2.938","2.966","2.938","0.69K","0.48%"
"Dec 07, 2017","2.941","2.951","2.968","2.929","0.69K","0.14%"
"Dec 06, 2017","2.937","2.929","2.962","2.929","0.77K","0.55%"
"Dec 05, 2017","2.921","3.064","3.065","2.921","1.75K","-4.64%"
"Dec 04, 2017","3.063","3.068","3.084","3.059","0.89K","-0.10%"
"Dec 01, 2017","3.066","3.045","3.098","3.045","2.05K","0.95%"
"Nov 30, 2017","3.037","3.037","3.063","3.025","2.04K","-0.10%"
"Nov 29, 2017","3.040","3.068","3.083","3.033","19.13K","-1.01%"
"Nov 28, 2017","3.071","3.105","3.105","3.068","0.23K","-1.95%"
"Nov 27, 2017","3.132","3.131","3.134","3.131","0.25K","-1.07%"
"Nov 24, 2017","3.166","3.126","3.174","3.125","0.19K","0.51%"
"Nov 23, 2017","3.150","3.134","3.158","3.125","-","0.48%"
"Nov 22, 2017","3.135","3.135","3.136","3.135","0.32K","0.29%"
"Nov 21, 2017","3.126","3.086","3.124","3.086","0.42K","1.13%"
"Nov 20, 2017","3.091","3.051","3.088","3.051","0.38K","0.95%"
"Nov 17, 2017","3.062","3.030","3.064","3.030","0.23K","0.62%"
"Nov 16, 2017","3.043","3.045","3.057","3.041","0.33K","-0.20%"
"Nov 15, 2017","3.049","3.050","3.058","3.034","0.34K","-0.36%"
"Nov 14, 2017","3.060","3.103","3.103","3.045","0.29K","-1.64%"
"Nov 13, 2017","3.111","3.086","3.126","3.086","0.37K","1.34%"
"Nov 10, 2017","3.070","3.079","3.079","3.063","0.21K","-0.32%"
"Nov 09, 2017","3.080","3.078","3.086","3.077","0.22K","-0.42%"
"Nov 08, 2017","3.093","3.092","3.099","3.092","0.26K","0.32%"
"Nov 07, 2017","3.083","3.115","3.115","3.079","0.38K","-2.16%"
"Nov 06, 2017","3.151","3.149","3.153","3.144","0.27K","1.29%"
"Nov 03, 2017","3.111","3.135","3.136","3.102","0.35K","-0.77%"
