"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2018","16.375","16.335","16.395","16.325","-","0.94%"
"Mar 29, 2018","16.223","16.250","16.250","16.210","0.04K","0.11%"
"Mar 28, 2018","16.205","16.450","16.450","16.195","0.08K","-1.72%"
"Mar 27, 2018","16.489","16.505","16.505","16.505","0.00K","-0.86%"
"Mar 26, 2018","16.632","16.700","16.725","16.615","0.04K","0.10%"
"Mar 25, 2018","16.615","16.560","16.655","16.560","-","0.51%"
"Mar 23, 2018","16.530","16.450","16.550","16.450","0.06K","1.24%"
"Mar 22, 2018","16.328","16.490","16.505","16.490","0.00K","-0.18%"
"Mar 21, 2018","16.357","16.385","16.530","16.385","0.08K","1.44%"
"Mar 20, 2018","16.125","16.215","16.215","16.050","0.11K","-0.80%"
"Mar 19, 2018","16.255","16.165","16.260","16.165","0.14K","-0.28%"
"Mar 18, 2018","16.300","16.315","16.335","16.280","-","0.60%"
"Mar 16, 2018","16.202","16.335","16.405","16.185","0.03K","-0.92%"
"Mar 15, 2018","16.353","16.485","16.485","16.305","0.03K","-0.69%"
"Mar 14, 2018","16.467","16.535","16.535","16.500","0.00K","-0.56%"
"Mar 13, 2018","16.559","16.495","16.560","16.460","0.02K","0.53%"
"Mar 12, 2018","16.471","16.565","16.565","16.390","0.05K","-0.90%"
"Mar 11, 2018","16.620","16.590","16.635","16.590","-","0.45%"
"Mar 09, 2018","16.546","16.330","16.615","16.305","0.36K","0.67%"
"Mar 08, 2018","16.436","16.440","16.465","16.375","0.07K","0.05%"
"Mar 07, 2018","16.428","16.640","16.640","16.400","0.03K","-1.72%"
"Mar 06, 2018","16.715","16.370","16.810","16.370","0.34K","2.31%"
"Mar 05, 2018","16.338","16.465","16.545","16.320","0.14K","-1.19%"
"Mar 04, 2018","16.535","16.540","16.560","16.505","-","0.87%"
"Mar 02, 2018","16.392","16.390","16.495","16.360","0.08K","1.19%"
"Mar 01, 2018","16.200","16.350","16.465","16.090","0.56K","-0.76%"
"Feb 28, 2018","16.324","16.335","16.430","16.300","1.02K","-0.13%"
"Feb 27, 2018","16.346","16.610","16.650","16.260","23.90K","-1.44%"
"Feb 26, 2018","16.585","16.460","16.720","16.440","-","0.82%"
"Feb 25, 2018","16.450","16.455","16.480","16.445","-","-0.16%"
"Feb 23, 2018","16.476","16.550","16.555","16.550","0.02K","-0.62%"
"Feb 22, 2018","16.579","16.570","16.570","16.570","0.02K","0.51%"
"Feb 21, 2018","16.495","16.430","16.740","16.345","-","0.43%"
"Feb 20, 2018","16.425","16.610","16.635","16.385","-","-1.11%"
"Feb 19, 2018","16.610","16.600","16.690","16.570","-","0.03%"
"Feb 18, 2018","16.605","16.600","16.645","16.595","-","0.03%"
"Feb 16, 2018","16.600","16.820","16.915","16.575","-","-1.34%"
"Feb 15, 2018","16.825","16.865","16.950","16.605","-","-0.24%"
"Feb 14, 2018","16.865","16.570","16.900","16.350","-","1.75%"
"Feb 13, 2018","16.575","16.510","16.645","16.410","-","0.16%"
"Feb 12, 2018","16.548","16.375","16.375","16.345","0.00K","1.40%"
"Feb 11, 2018","16.320","16.295","16.325","16.280","-","0.06%"
"Feb 09, 2018","16.310","16.395","16.400","16.130","-","-0.52%"
"Feb 08, 2018","16.395","16.355","16.425","16.190","-","1.17%"
"Feb 07, 2018","16.206","16.630","16.630","16.630","0.00K","-2.07%"
"Feb 06, 2018","16.548","16.705","16.705","16.540","0.21K","-1.18%"
"Feb 05, 2018","16.745","16.590","16.865","16.560","-","0.90%"
"Feb 04, 2018","16.595","16.555","16.625","16.515","-","0.24%"
"Feb 02, 2018","16.555","17.180","17.225","16.520","-","-3.64%"
"Feb 01, 2018","17.180","17.340","17.350","17.070","-","-0.14%"
"Jan 31, 2018","17.204","17.175","17.210","17.175","0.02K","1.12%"
"Jan 30, 2018","17.013","17.055","17.185","17.025","0.02K","-0.83%"
"Jan 29, 2018","17.155","17.415","17.470","17.085","-","-1.46%"
"Jan 28, 2018","17.410","17.420","17.440","17.365","-","0.14%"
"Jan 26, 2018","17.385","17.305","17.530","17.295","-","-0.95%"
"Jan 25, 2018","17.551","17.525","17.525","17.525","0.00K","0.21%"
"Jan 24, 2018","17.515","17.050","17.625","16.985","-","2.73%"
"Jan 23, 2018","17.050","17.015","17.090","16.740","-","0.70%"
"Jan 22, 2018","16.931","16.985","16.985","16.985","0.00K","-0.87%"
"Jan 21, 2018","17.080","17.060","17.100","17.040","-","0.62%"
"Jan 19, 2018","16.975","16.935","16.990","16.935","0.04K","0.49%"
"Jan 18, 2018","16.893","17.000","17.010","16.960","0.01K","-1.24%"
"Jan 17, 2018","17.105","17.095","17.120","16.970","0.09K","-0.10%"
"Jan 16, 2018","17.122","17.305","17.325","17.305","0.00K","-1.48%"
"Jan 15, 2018","17.380","17.240","17.445","17.225","-","0.78%"
"Jan 14, 2018","17.245","17.240","17.270","17.225","-","1.03%"
"Jan 12, 2018","17.069","16.925","17.120","16.920","0.05K","1.04%"
"Jan 11, 2018","16.894","16.955","16.965","16.905","0.04K","-0.41%"
"Jan 10, 2018","16.963","16.960","16.960","16.955","0.18K","0.16%"
"Jan 09, 2018","16.936","16.945","16.945","16.945","0.01K","-1.13%"
"Jan 08, 2018","17.130","17.275","17.295","17.065","-","-0.81%"
"Jan 07, 2018","17.270","17.280","17.285","17.270","-","0.06%"
"Jan 05, 2018","17.260","17.220","17.320","17.130","-","0.41%"
"Jan 04, 2018","17.189","17.085","17.230","17.085","0.03K","0.02%"
"Jan 03, 2018","17.185","17.080","17.160","17.080","0.00K","0.37%"
"Jan 02, 2018","17.121","17.155","17.160","17.125","0.03K","0.30%"
"Jan 01, 2018","17.070","17.025","17.085","17.020","-","0.06%"
"Dec 29, 2017","17.060","16.920","17.045","16.920","0.02K","1.35%"
"Dec 28, 2017","16.832","16.650","16.820","16.650","0.21K","1.28%"
"Dec 27, 2017","16.619","16.595","16.625","16.580","0.09K","0.60%"
"Dec 26, 2017","16.520","16.480","16.480","16.480","0.06K","0.79%"
"Dec 25, 2017","16.390","16.435","16.435","16.365","-","0.20%"
"Dec 22, 2017","16.357","16.140","16.320","16.140","0.19K","1.27%"
"Dec 21, 2017","16.152","16.095","16.120","16.095","0.05K","-0.22%"
"Dec 20, 2017","16.188","16.095","16.175","16.095","0.02K","0.76%"
"Dec 19, 2017","16.066","16.160","16.160","16.080","0.02K","-0.33%"
"Dec 18, 2017","16.120","15.980","16.075","15.980","0.05K","0.31%"
"Dec 17, 2017","16.070","16.075","16.090","16.060","-","0.58%"
"Dec 15, 2017","15.978","16.010","16.010","15.955","0.37K","0.81%"
"Dec 14, 2017","15.850","16.000","16.000","15.800","0.03K","0.42%"
"Dec 13, 2017","15.784","15.640","15.995","15.620","0.19K","1.30%"
"Dec 12, 2017","15.582","15.665","15.700","15.555","0.20K","-0.73%"
"Dec 11, 2017","15.697","15.775","15.800","15.625","0.08K","-1.06%"
"Dec 10, 2017","15.865","15.850","15.880","15.850","-","0.82%"
"Dec 08, 2017","15.736","15.675","15.765","15.655","0.08K","0.13%"
"Dec 07, 2017","15.715","15.880","15.885","15.600","0.17K","-0.96%"
"Dec 06, 2017","15.868","16.040","16.050","15.870","0.21K","-0.66%"
"Dec 05, 2017","15.973","16.250","16.280","15.980","0.08K","-1.91%"
"Dec 04, 2017","16.284","16.310","16.340","16.190","0.89K","-0.77%"
"Dec 03, 2017","16.410","16.350","16.435","16.340","-","0.69%"
"Dec 01, 2017","16.297","16.385","16.485","16.200","0.52K","-0.52%"
"Nov 30, 2017","16.382","16.480","16.520","16.285","1.59K","-0.46%"
"Nov 29, 2017","16.457","16.810","16.865","16.450","22.56K","-2.11%"
"Nov 28, 2017","16.811","17.020","17.025","17.020","0.00K","-1.16%"
"Nov 27, 2017","17.009","17.020","17.020","17.020","0.00K","0.00%"
"Nov 26, 2017","17.009","17.025","17.025","16.998","-","0.16%"
"Nov 24, 2017","16.981","16.990","16.990","16.990","0.00K","-0.67%"
"Nov 23, 2017","17.096","17.096","17.157","17.067","-","-0.01%"
"Nov 22, 2017","17.097","16.987","17.165","16.950","-","0.87%"
"Nov 21, 2017","16.949","16.930","16.930","16.930","0.00K","-0.06%"
"Nov 20, 2017","16.959","17.272","17.278","16.846","-","-1.78%"
"Nov 19, 2017","17.266","17.289","17.302","17.249","-","-0.53%"
"Nov 17, 2017","17.358","17.125","17.305","17.125","0.00K","1.77%"
"Nov 16, 2017","17.056","16.950","16.970","16.950","0.01K","0.63%"
"Nov 15, 2017","16.950","16.940","16.940","16.940","0.00K","-0.60%"
